"date"	"bassin"	"comptage"	"sel"	"temperature"	"o2"	"niveau"	"annee"	"dateJ"
"2015-06-04"	"B"	0	59.65	23.6	9.15	18	2015	154
"2015-06-04"	"C"	3	53.0477272727273	23.2727272727273	8.94772727272727	1.5	2015	154
"2015-06-04"	"D"	0	72.55	25.35	7.3	16.5	2015	154
"2015-06-04"	"G"	0	57.3	24.2	8.725	14	2015	154
"2015-06-04"	"I"	1	35.9	24	7.5	82.5	2015	154
"2015-06-04"	"J"	10	50.525	24.175	8.9	10.25	2015	154
"2015-06-04"	"KL"	6	48.75	26.55	8.2	12.5	2015	154
"2015-06-11"	"B"	14	58.5	25.5	8.9	17	2015	161
"2015-06-11"	"C"	0	36.4	25.5	8.1	3	2015	161
"2015-06-11"	"D"	27	61.8	25.5	6.5	18	2015	161
"2015-06-11"	"G"	2	53.45	25.7	8.25	17.5	2015	161
"2015-06-11"	"H"	6	92.85	27.9	5.85	18.5	2015	161
"2015-06-11"	"I"	2	35.7	25.2	6.4	85	2015	161
"2015-06-11"	"J"	0	42.2	25.45	8.85	11	2015	161
"2015-06-11"	"KL"	5	47.9	28	6.8	15	2015	161
"2015-06-18"	"B"	34	57.6	24.6	8.15	13	2015	168
"2015-06-18"	"C"	35	42.6	26.2	9.55	3.5	2015	168
"2015-06-18"	"D"	39	63.8	25.65	6.75	19	2015	168
"2015-06-18"	"G"	0	63.15	25.225	7.375	15	2015	168
"2015-06-18"	"H"	2	94.35	27.525	7.3	16.25	2015	168
"2015-06-18"	"I"	0	37.25	25.7	8.85	82.5	2015	168
"2015-06-18"	"J"	6	54.1	26.45	9.075	9.5	2015	168
"2015-06-18"	"KL"	1	51.3	28.4	11.35	11	2015	168
"2015-06-25"	"B"	21	56.7	23.7	7.4	9	2015	175
"2015-06-25"	"C"	25	48.8	26.9	11	4	2015	175
"2015-06-25"	"D"	187	65.8	25.8	7	20	2015	175
"2015-06-25"	"G"	0	72.85	24.75	6.5	12.5	2015	175
"2015-06-25"	"H"	24	95.85	27.15	8.75	14	2015	175
"2015-06-25"	"I"	3	38.8	26.2	11.3	80	2015	175
"2015-06-25"	"J"	11	66	27.45	9.3	8	2015	175
"2015-06-25"	"KL"	0	54.7	28.8	15.9	7	2015	175
"2015-07-02"	"B"	4	93.35	25.4	7.35	6.5	2015	182
"2015-07-02"	"C"	30	68.3	24.3	10.3	4	2015	182
"2015-07-02"	"D"	166	68.15	23.8	7.2	21	2015	182
"2015-07-02"	"G"	78	76.5	24.8	5.3	15.25	2015	182
"2015-07-02"	"H"	39	103.2	26.95	8.425	11.5	2015	182
"2015-07-02"	"I"	0	40.85	25.85	9.95	80	2015	182
"2015-07-02"	"J"	34	80.425	26.95	7.975	6	2015	182
"2015-07-02"	"KL"	24	63.2	27.3	11.95	6	2015	182
"2015-07-09"	"B"	55	130	27.1	7.3	4	2015	189
"2015-07-09"	"C"	75	87.8	21.7	9.6	4	2015	189
"2015-07-09"	"D"	61	70.5	21.8	7.4	22	2015	189
"2015-07-09"	"G"	7	80.15	24.85	4.1	18	2015	189
"2015-07-09"	"H"	13	110.55	26.75	8.1	9	2015	189
"2015-07-09"	"I"	2	42.9	25.5	8.6	80	2015	189
"2015-07-09"	"J"	9	94.85	26.45	6.65	4	2015	189
"2015-07-09"	"KL"	180	71.7	25.8	8	5	2015	189
"2015-07-16"	"B"	71	113.7	29.1	5.45	4	2015	196
"2015-07-16"	"C"	78	73.75	25.1	9.85	4.5	2015	196
"2015-07-16"	"D"	72	100.25	25.4	6.9	22	2015	196
"2015-07-16"	"G"	3	87.5	27.2	4.825	17.75	2015	196
"2015-07-16"	"H"	8	108.225	29.175	6.425	13.5	2015	196
"2015-07-16"	"I"	3	44.95	27.75	8.45	77.5	2015	196
"2015-07-16"	"J"	8	80.2	28.175	7.2	8.25	2015	196
"2015-07-16"	"KL"	521	59.2	27.95	7.2	9	2015	196
"2015-07-23"	"B"	56	97.4	31.1	3.6	4	2015	203
"2015-07-23"	"C"	41	59.7	28.5	10.1	5	2015	203
"2015-07-23"	"D"	92	130	29	6.4	22	2015	203
"2015-07-23"	"G"	5	94.85	29.55	5.55	17.5	2015	203
"2015-07-23"	"H"	40	105.9	31.6	4.75	18	2015	203
"2015-07-23"	"I"	3	47	30	8.3	75	2015	203
"2015-07-23"	"J"	77	65.55	29.9	7.75	12.5	2015	203
