ID	altitude_mediane	altitude_min	altitude_max	saison_temperature	temp_trim_chaud	temp_trim_froid	saison_precip	precip_trim_humide	precip_trim_sec
ID1007	318	253	445	57.5	19.9	5.1	14	223	167
ID1008	331.5	188	413	57.445	19.9	5.2	15	221	164
ID1009	224	149	339	57.41	20.5	5.7	17	211.5	145
ID1010	237.5	136	434	57.325	20.4	5.7	19	215	139.5
ID1011	144	96	386	57.31	20.9	6.2	21	213	125
ID1012	141.5	69	430	57.2	21	6.3	21.5	213	122
ID1013	104.5	52	531	57.235	21.55	6.8	23	208	112
ID1014	82	41	217	57.17	21.8	7.05	24	208	108.5
ID1015	44	20	173	57.095	22	7.4	26	206	102
ID1016	40.5	0	204	56.93	22.1	7.5	27	207	100
ID1017	40.5	2	181	56.745	22.1	7.5	28	209	99.5
ID104	801.5	507	1063	59.13	16.25	1.05	27	231	121
ID1048	384.5	277	518	57.4	19.7	5	14	225	169
ID1049	283	190	512	57.385	20.3	5.6	16	213	153.5
ID1050	214	141	361	57.32	20.7	6	18	210	139
ID1051	259	136	578	57.15	20.5	5.8	19	215	138
ID1052	373.5	197	646	56.945	20	5.4	18	222	147
ID1053	228.5	82	430	57.035	21	6.3	21	215	124
ID1054	160	63	348	57	21.4	6.8	23	211.5	113.5
ID1055	138	33	305	56.875	21.7	7.1	25	210	107
ID1056	17.5	0	269	56.675	22.3	7.8	28	205	95
ID1057	1	0	96	56.6	22.4	7.8	29	205	95
ID1089	491	247	728	57.135	19.4	4.8	14	230	177.5
ID109	523	328	887	62.19	18.1	2.1	17	244	169
ID1090	362	182	569	57.125	20.1	5.45	16	214	159
ID1091	573	226	899	56.725	19.1	4.6	15	227.5	177
